outcome_cat,outcome,cohort,analysis,term,hr,conf_low,conf_high,outcome_time_median
Cardiovascular diseases,Acute myocardial infarction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0365_0714,1.425541583,1.181589895,1.71985967,467
Cardiovascular diseases,Acute myocardial infarction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0001_0028,11.14210305,9.951546836,12.47507932,6
Cardiovascular diseases,Acute myocardial infarction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0197_0365,1.301519984,1.115678678,1.518317327,268.5
Cardiovascular diseases,Acute myocardial infarction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0000_0001,244.0704712,218.9558256,272.0658139,0
Cardiovascular diseases,Acute myocardial infarction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0028_0197,1.643184455,1.442427993,1.871882109,108
Cardiovascular diseases,Acute myocardial infarction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0197_0365,1.163071557,1.090142694,1.240879249,275
Cardiovascular diseases,Acute myocardial infarction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0001_0028,4.289829549,3.963426782,4.643108141,8
Cardiovascular diseases,Acute myocardial infarction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0365_0714,1.313072092,1.192210325,1.446186222,436.5
Cardiovascular diseases,Acute myocardial infarction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0028_0197,1.320494252,1.245465182,1.400043209,110
Cardiovascular diseases,Acute myocardial infarction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Main,days0000_0001,172.9962642,162.5820829,184.0775249,0
Cardiovascular diseases,Acute myocardial infarction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0028_0197,1.244790198,1.166516783,1.328315901,110
Cardiovascular diseases,Acute myocardial infarction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0365_0714,1.25454405,1.121846737,1.402937426,424
Cardiovascular diseases,Acute myocardial infarction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0001_0028,2.673427615,2.395190576,2.983986028,10
Cardiovascular diseases,Acute myocardial infarction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0197_0365,1.124674994,1.047673195,1.207336266,277
Cardiovascular diseases,Acute myocardial infarction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Non-hospitalised COVID-19,days0000_0001,151.0086319,140.2124819,162.6362318,0
Mental illnesses,Addiction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0197_0365,2.003242264,1.383870661,2.899823868,265
Mental illnesses,Addiction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0028_0197,1.845652364,1.318965082,2.582655673,127
Mental illnesses,Addiction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0001_0028,10.15736441,7.267969834,14.19542884,5
Mental illnesses,Addiction,Pre-vaccination (Jan 1 2020 - Dec 14 2021),Hospitalised COVID-19,days0000_0001,310.9325476,231.3223055,417.9413033,1
